student_id,name,class_name,assignment,tool,prompt_count,output_quality_score,submit_time,duration_min,video_seconds,passed
023,张三,信管2301,text_novel,ChatGPT,12,88,2026-04-18 21:30,180,,yes
024,李四,信管2301,text_novel,chat gpt,7,76,2026/04/18 22:10,150,,Y
025,王五,信管2301,text_novel,豆包,15,92,2026-04-18 20:45,210,,yes
026,赵六,信管2301,text_novel,Doubao,5,65,2026-04-19 00:05,90,,no
027,孙七,信管2301,image_prompt,豆包,18,91,2026-04-20 19:20,120,,yes
028,周八,信管2301,image_prompt,Midjourney,9,84,2026-04-20 21:00,160,,yes
029,吴九,信管2301,image_prompt,Kimi,6,72,2026-04-21 10:30,100,,yes
030,郑十,信管2301,image_prompt,kimi,0,58,2026-04-21 11:15,70,,no
031,钱一,信管2302,video_generation,豆包,11,86,2026-04-22 18:20,140,6,yes
032,钱二,信管2302,video_generation,MiniMax M2.7,14,89,2026-04-22 19:10,180,8,yes
033,钱三,信管2302,video_generation,minimax,3,55,2026-04-22 19:40,60,3,no
034,钱四,信管2302,video_generation,ChatGPT,10,81,2026-04-22 20:00,130,5,yes
035,钱五,信管2302,video_generation,DeepSeek,8,74,2026-04-22 20:40,110,4,no
036,钱六,信管2302,text_novel,Deepseek,20,95,2026-04-18 23:50,240,,yes
037,钱七,信管2302,text_novel,豆 包,13,85,2026-04-19 09:00,200,,yes
038,钱八,信管2302,image_prompt,Chat GPT,16,90,2026-04-20 22:20,150,,yes
039,钱九,信管2302,image_prompt,豆包,,82,2026-04-20 23:10,120,,yes
040,钱十,信管2302,video_generation,Doubao,9,101,2026-04-22 21:30,160,7,yes
041,冯一,信管2303,video_generation,Kimi,4,64,wrong_date,80,5,Y
042,冯二,信管2303,text_novel,ChatGPT,-2,70,2026-04-18 18:30,100,,yes
043,冯三,信管2303,image_prompt,DeepSeek,5,,2026-04-20 18:10,90,,no
044,冯四,信管2303,video_generation,MiniMax,6,79,2026-04-22 22:15,-30,6,yes
045,冯五,信管2303,video_generation,豆包,8,83,2026-04-22 22:40,150,0,no
045,冯五,信管2303,video_generation,豆包,8,83,2026-04-22 22:40,150,0,no
046,,信管2303,text_novel,Kimi,10,78,2026-04-18 21:00,130,,yes
047,陈一,信管2303,image_prompt,unknown_tool,7,69,2026-04-20 20:00,100,,unknown
048,陈二,信管2303,video_generation,豆包,二十,88,2026-04-22 23:10,170,9,yes
049,陈三,信管2303,text_novel,MiniMax,6,62,2026-04-18 20:20,80,,N
050,陈四,信管2303,image_prompt,豆包,12,87,2026-04-20 20:40,140,,yes
